vendor_count,is_chain,CUI_American,CUI_Asian,CUI_Beverages,CUI_Cafe,CUI_Chicken Dishes,CUI_Chinese,CUI_Desserts,CUI_Healthy,CUI_Indian,CUI_Italian,CUI_Japanese,CUI_Noodle Dishes,CUI_OTHER,CUI_Street Food / Snacks,CUI_Thai,engagement_duration,tot_value_cui,preferred_order_day,preferred_order_hour,age_category
3.0,2.0,0.0,5.91,13.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,23.0,25.99,6.0,3.0,26
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.0,23.0,6.01,1.0,16.0,26
2.0,2.0,1.52,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5.07,1.0,18.0,26
2.0,2.0,0.0,0.0,0.0,0.0,5.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,9.3,1.0,18.0,26
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.21,2.55,0.0,0.0,24.0,9.76,2.0,11.0,26
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.36,0.0,0.0,0.0,0.0,0.0,24.0,13.36,2.0,12.0,26
2.0,0.0,19.44,0.0,0.0,0.0,0.0,0.0,12.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,32.21,2.0,5.0,26
4.0,6.0,0.0,0.0,0.0,8.51,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,7.07,0.0,0.0,24.0,17.560000000000002,5.0,17.0,26
5.0,6.0,0.0,0.0,74.8,0.0,0.0,0.0,0.0,0.0,5.7,6.16,0.0,0.0,0.0,3.46,0.0,24.0,90.11999999999999,0.0,10.0,26
2.0,0.0,0.0,25.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.44,2.0,3.0,26
2.0,0.0,0.0,73.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,73.29,3.0,2.0,26
1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.27,3.0,11.0,26
7.0,6.0,0.0,0.0,27.09,2.23,0.0,58.94,0.0,5.63,0.0,0.0,0.0,0.0,3.04,0.0,0.0,25.0,93.10499999999999,0.0,12.0,26
4.0,4.0,0.0,0.0,0.0,0.0,8.23,0.0,0.0,0.0,0.0,0.0,1.28,0.0,5.73,4.85,0.0,25.0,20.09,6.0,9.0,26
1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,14.02,4.0,17.0,26
4.0,3.0,25.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.23,0.0,0.0,0.0,4.94,0.0,26.0,62.779999999999994,1.0,17.0,26
4.0,3.0,0.0,14.86,0.0,0.0,6.89,0.0,0.0,0.0,6.71,0.0,0.0,0.0,0.0,0.0,0.0,26.0,28.46,6.0,12.0,26
2.0,2.0,0.0,0.0,7.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,26.0,11.120000000000001,4.0,9.0,26
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,0.0,0.0,0.0,0.0,0.0,26.0,10.25,4.0,16.0,26
4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.85,0.0,0.0,0.57,0.88,0.0,0.0,26.0,5.15,4.0,19.0,26
2.0,2.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.39,0.0,0.0,0.0,26.0,46.49,4.0,11.0,26
4.0,4.0,0.0,0.0,14.78,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,26.0,17.2,4.0,8.0,42
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.87,0.0,0.0,0.0,0.0,0.0,26.0,23.87,4.0,15.0,26
3.0,5.0,5.24,0.0,0.0,0.0,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37,0.0,0.0,26.0,16.38,4.0,16.0,26
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.1,5.0,13.0,26
2.0,2.0,0.0,18.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,18.65,5.0,15.0,42
4.0,3.0,12.45,12.89,12.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,37.36,4.0,1.0,26
1.0,3.0,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.01,4.0,11.0,26
2.0,2.0,0.0,0.0,0.0,0.0,8.49,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,10.5,5.0,15.0,26
3.0,2.0,5.77,17.76,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,29.43,6.0,0.0,26
2.0,3.0,0.0,12.71,0.0,0.0,0.0,0.0,12.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,24.86,1.0,3.0,26
2.0,1.0,0.85,0.0,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,7.68,6.0,10.0,26
5.0,6.0,3.42,29.63,0.0,0.0,0.0,7.43,0.0,0.0,0.0,2.23,0.0,0.0,2.76,0.0,0.0,28.0,45.46999999999999,2.0,9.0,42
2.0,0.0,24.64,19.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,44.010000000000005,6.0,8.0,26
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.52,0.0,0.0,0.0,0.0,0.0,0.0,28.0,12.52,6.0,19.0,26
3.0,0.0,0.0,7.15,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.58,0.0,28.0,43.91,6.0,11.0,26
1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,22.37,6.0,17.0,26
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.74,0.0,0.0,0.0,6.0,0.0,28.0,33.739999999999995,6.0,19.0,26
2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,0.0,0.0,0.0,0.0,19.12,0.0,0.0,0.0,0.0,28.0,23.080000000000002,6.0,11.0,26
